threshold,approval_rate,realized_profit,book_default_rate
0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0
0.02,0.0,0.0,0.0
0.03,9.895041877230802e-05,-3507.6849118266,0.07142857142857142
0.04,0.0006184401173269251,30150.699455580398,0.022857142857142857
0.05,0.0019472028836979185,107001.49068539627,0.023593466424682397
0.06,0.004290207442485069,290941.8430761918,0.019769357495881382
0.07,0.00724458423154398,540547.8017035334,0.01951219512195122
0.08,0.010813867194402233,932300.5525577308,0.016666666666666666
0.09,0.015093472806304555,1429420.3742846726,0.01685787871692812
0.1,0.019942043326147647,1927700.2131881705,0.018252702463228777
0.11,0.025101600876417995,2519486.767344552,0.019287624947205408
0.12,0.030706435311163727,3148277.7018246436,0.02186672804695592
0.13,0.03697211718556737,3697906.9338148125,0.02494742878990633
0.14,0.04390924833021168,4367063.553103199,0.027525150905432595
0.15,0.051065483973566105,4995698.283492054,0.03017301038062284
0.16,0.0588684312824681,5762092.847018164,0.032296794333053186
0.17,0.06747358377213132,6416152.43458785,0.03472476823966899
0.18,0.0767890589108386,7231860.364577433,0.03700124257904183
0.19,0.08626002756475952,7872668.6475416105,0.0390429759514933
0.2,0.09638477577128317,8276796.992495973,0.042201363936349635
0.21,0.1071986429656854,9060212.627849512,0.04410892068306191
0.22,0.11824928437643567,9454946.746288033,0.047159379576223064
0.23,0.13017634378202636,9997463.492314778,0.05008687153871213
0.24,0.14253454429798212,10605927.95607151,0.052785560211241415
0.25,0.15516485846556172,10830980.731127601,0.0562324914022821
0.26,0.16825458529172704,11076675.882245127,0.05931402407006784
0.27,0.18190267519525039,11106456.787202887,0.062090804887999534
0.28,0.19606318691027316,11456984.980434475,0.06488824801730353
0.29,0.21106477718486058,11532095.970281444,0.06769359564671411
0.3,0.22580838958193447,11653361.376923077,0.07070754495516221
0.31,0.24134360532918683,11710730.779171439,0.07352144436472259
0.32,0.25752906668551434,11749610.760540739,0.07602266957583742
0.33,0.2741951443615931,11522866.924422571,0.07913492892033665
0.34,0.2913983814538644,10949567.072028195,0.08262488327249354
0.35000000000000003,0.30890553768950774,10718234.53342469,0.08545835192367093
0.36,0.32632081139343394,11116967.29397734,0.0879151821007375
0.37,0.3445877654875075,10160297.29820159,0.09113098412437953
0.38,0.3632752588613634,8508841.788928777,0.094731312502432
0.39,0.381330176343782,7250827.583925,0.0979936054863074
0.4,0.4001060183058275,6254369.548686186,0.10074369799855147
0.41000000000000003,0.4192458564512139,4437318.2676346395,0.10428713522261746
0.42,0.43868961373997245,2740213.390480837,0.10764806341431978
